iter	Passed	Remaining
912	2531	241
913	2534	238
914	2537	235
915	2540	232
916	2543	230
917	2546	227
918	2548	224
919	2551	221
920	2554	219
921	2556	216
922	2559	213
923	2562	210
924	2565	207
925	2567	205
926	2570	202
927	2573	199
928	2576	196
929	2578	194
930	2581	191
931	2584	188
932	2587	185
933	2591	183
934	2594	180
935	2597	177
936	2601	174
937	2604	172
938	2608	169
939	2611	166
940	2614	163
941	2617	161
942	2620	158
943	2623	155
944	2626	152
945	2629	150
946	2633	147
947	2636	144
948	2639	141
949	2642	139
950	2645	136
951	2648	133
952	2651	130
953	2654	127
954	2656	125
955	2659	122
956	2662	119
957	2665	116
958	2668	114
959	2670	111
960	2673	108
961	2676	105
962	2678	102
963	2681	100
964	2684	97
965	2687	94
966	2689	91
967	2692	89
968	2695	86
969	2697	83
970	2700	80
971	2702	77
972	2705	75
973	2707	72
974	2711	69
975	2713	66
976	2716	63
977	2719	61
978	2721	58
979	2724	55
980	2727	52
981	2730	50
982	2732	47
983	2735	44
984	2738	41
985	2741	38
986	2743	36
987	2746	33
988	2748	30
989	2751	27
990	2754	25
991	2757	22
992	2759	19
993	2762	16
994	2764	13
995	2767	11
996	2770	8
997	2772	5
998	2775	2
999	2777	0
